,pk,user_id,text,type,created_at,created_at_utc,content_type,status,bit_flags,did_report_as_spam,share_enabled,user,is_covered,has_translation,has_liked_comment,comment_like_count,child_comment_count,preview_child_comments,other_preview_users,num_tail_child_comments,has_more_tail_child_comments,has_more_head_child_comments,inline_composer_display_condition,private_reply_status
10,17899319260863523,236978257,A picture of the plastics that will end up in the water I drink,0,1618447365,1618447365,comment,Active,0,False,False,"{'pk': 236978257, 'username': 'applegater', 'full_name': 'Kelsey Applegate', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/178179332_168883735109940_1647918936378646242_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=q3x0EZQVxIcAX9iSk6x&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8N2SETWE3mxlcTM5JgYWIR6svrCGeLVjwg3AqTUHLcwQ&oe=62BBC8F9&_nc_sid=705020', 'profile_pic_id': '2558379572537335108_236978257', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,3,0,[],[],,,,never,0
11,17909693893605928,5739825784,💩💩💩💩💩💩,0,1609951538,1609951538,comment,Active,0,False,False,"{'pk': 5739825784, 'username': 'ceromichi', 'full_name': 'Michela', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/282720965_407876404309616_1767757264376909808_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=XYiofMOB9OoAX_Ne0jS&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_pSIqtZhzahayEkFAqA6Tpu_2as6oSOzInL8PtQqZ9HA&oe=62BAFD73&_nc_sid=705020', 'profile_pic_id': '2842843969211303768_5739825784', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
12,17971517233352936,241327331,WE WILL NOT SUPPORT YOUR BUSINESS,0,1609177401,1609177401,comment,Active,0,False,False,"{'pk': 241327331, 'username': 'brendastacy23', 'full_name': 'B.S.Gbdn', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/147424511_499404648129389_6177136299397659680_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=H67itLVzE44AX_jSOd8&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8fr06bJVC6djF6gH2r8voibONhU1jJxw1npbl9I7AaBQ&oe=62BBFABB&_nc_sid=705020', 'profile_pic_id': '2507571923400327845_241327331', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
13,17881554526934501,1187035874,You don’t understand nothing about the planet,0,1607242578,1607242578,comment,Active,0,False,False,"{'pk': 1187035874, 'username': 'christinanzpz', 'full_name': 'Chr:)stina', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/271031906_296607885821643_999235105238174502_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=wOydK_4cEpwAX91bHlS&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_B-LM59v6oox4iAclN4HrhIXSXfBSF155jfaaXYwdxbQ&oe=62BABBBE&_nc_sid=705020', 'profile_pic_id': '2742527036949003472_1187035874', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
14,18129312505083404,1187035874,Bad example of cuality,0,1607242556,1607242556,comment,Active,0,False,False,"{'pk': 1187035874, 'username': 'christinanzpz', 'full_name': 'Chr:)stina', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/271031906_296607885821643_999235105238174502_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=wOydK_4cEpwAX91bHlS&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_B-LM59v6oox4iAclN4HrhIXSXfBSF155jfaaXYwdxbQ&oe=62BABBBE&_nc_sid=705020', 'profile_pic_id': '2742527036949003472_1187035874', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
15,18129898327132855,9207683007,Please end the cruel Iditarod race. Thank you! https://www.peta.org/action/exxonmobil-fueling-dog-abuse/,0,1606315926,1606315926,comment,Active,0,False,False,"{'pk': 9207683007, 'username': 'allegra4447', 'full_name': 'Allegra Nicola', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/102874545_263871288359186_8004156526623195136_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=-CB_yK_nvT0AX_n_swh&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9sY0Nhhnfzt8mO6dVE5wZ--JkmzwTX1bOaOu2QVZvOSg&oe=62BB4005&_nc_sid=705020', 'profile_pic_id': '2325004668081353123_9207683007', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,2,1,[],"[{'id': 317340635, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/234080182_538234907456105_7885862299288374125_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Dr8wO64gFWoAX9AFVwE&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9mfIdHsvjF0wimfsWepFngT7_2skIWU33TYYVSl02RdA&oe=62BB61C9&_nc_sid=705020'}]",1.0,True,False,never,0
16,17878143709907168,4153239304,Stop to animals cruelty😢,0,1606144743,1606144743,comment,Active,0,False,False,"{'pk': 4153239304, 'username': 'aga.saj', 'full_name': 'ｌｉｖｅ   ｓｉｍｐｌｙ', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/281727140_303412551993004_5010127333600049915_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=xIKL7Vnj4QcAX8oWBjg&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9yrolSHQsnAnqQxcMdQaP_x45ZxjBR32YNv13_fBWrxw&oe=62BA7C62&_nc_sid=705020', 'profile_pic_id': '2841835497711850040_4153239304', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655981870, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
17,18176315080048345,50542958,STOP ANIMAL CRUELTY!!!🛑✋,0,1606125820,1606125820,comment,Active,0,False,False,"{'pk': 50542958, 'username': 'chabber', 'full_name': 'Cindy Habberstad', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/10005138_1584849058461860_997957673_a.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=FcGmpIz_0toAX9dhCGg&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_DpKidWkTTl-Pa4vlgoBOLS2Fsb4XA-55nhx-DYeGRow&oe=62BBCDAA&_nc_sid=705020', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
18,17886463648831328,1504374042,PLEASE STOP SPONSORING ANIMAL ABUSE !,0,1606007043,1606007043,comment,Active,0,False,False,"{'pk': 1504374042, 'username': 'anastasia_biffone', 'full_name': 'Anastasia B.', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/275944281_1028526338021401_963208467523209682_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=Q-c-z1AEoP8AX81qlRE&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-MgmDEDiCWDY1bH6FxSDIdJOUst3n8X0YyRikTHJLNgA&oe=62BB24B7&_nc_sid=705020', 'profile_pic_id': '2794914984803606393_1504374042', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655921234, 'latest_besties_reel_media': 0}",False,,False,2,0,[],[],,,,never,0
19,17954801020369015,5699601381,Hundreds of dogs are dying because of iditarod!!!! Stop supporting animal cruelty!! Stop abusing dogs!!! Stop sponsoring cruel iditarod!!!!❌👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,0,1605990484,1605990484,comment,Active,0,False,False,"{'pk': 5699601381, 'username': 'nazlicankocali', 'full_name': 'Nazlıcan Koçali', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/284907523_1435907436842296_8768442953712015661_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=wmQ5Ipvbj3IAX8wD_O6&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8APOEV7rOyUZsGTv3mGeN9GzU75-aUYhBayLlpGNhbfA&oe=62BB2179&_nc_sid=705020', 'profile_pic_id': '2850574616784912306_5699601381', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': False, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,4,0,[],"[{'id': 7041367243, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/27880301_170736903708992_8680908806852444160_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=01DcxpmjL_8AX-7dj_8&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8gbQSA-wFyzQjn1io_WeTSjWpXdK8zpTl5Qrvrze-aFA&oe=62BB641D&_nc_sid=705020'}]",,,,never,0
